case,method,tau,n,epochs,rep,n_train,n_val,data_seed,fit_seed,data_sha256,epochs_run,optimizer_updates,projection_1_epochs_run,projection_2_epochs_run,projection_1_seed,projection_2_seed,density_zero,last_epoch_train_loss,last_epoch_validation_loss,training_loss,theta_hat_1,theta_0_1,estimated_se_1,theta_error_1,root_n_train_error_1,T_1,ci_lower_1,ci_upper_1,covered_1,theta_hat_2,theta_0_2,estimated_se_2,theta_error_2,root_n_train_error_2,T_2,ci_lower_2,ci_upper_2,covered_2
3,DPLQR,0.5,500,1000,20,400,100,50760924,51260924,7182367abc879414591563ca3db96364533ee54ea069680d7f711658b291f995,1000,4000,1000,1000,51760924,51760925,0.7139751158803442,0.15683907642960548,0.7529711723327637,0.2925586384245018,0.9214562773704529,1.0,0.3130742349784791,-0.07854372262954712,-1.5708744525909424,-0.2508789093901204,0.3078420523252039,1.5350705024157019,True,-1.094221830368042,-1.0,0.730491472873234,-0.09422183036804199,-1.8844366073608398,-0.1289841618512538,-2.5259588082131987,0.33751514747711453,True
3,DPLQR,0.5,1000,200,1,800,200,51260905,51760905,3adea298d34c65375236d1230f11bc7dc55d87428ff0999b512a9e24062e09ae,200,1400,200,200,52260905,52260906,0.7255196460329288,0.3638219301189695,0.6718401312828064,0.40032041530184626,0.9202179312705994,1.0,0.17115942704587994,-0.07978206872940063,-2.256577672626016,-0.46612722481254126,0.5847516186461639,1.2556842438950349,True,-0.8651397824287415,-1.0,0.16924509884004282,0.13486021757125854,3.8144229742772042,0.7968338137739388,-1.196854080715147,-0.5334254841423358,True
3,DPLQR,0.5,1000,200,2,800,200,51260906,51760906,3275d9982ba0d6cbb95f2c8a36060118f87f247e94c5c12b7430798515bd1b66,200,1400,200,200,52260906,52260907,0.6774234765580832,0.3561240477221353,0.714787483215332,0.380787859894026,1.2356250286102295,1.0,0.169334850501885,0.2356250286102295,6.664482221902702,1.3914739223016976,0.9037348202990606,1.5675152369213983,True,-0.8749150633811951,-1.0,0.17170269545720335,0.12508493661880493,3.5379362762978586,0.7284972218154966,-1.2114461625257626,-0.5383839642366274,True
3,DPLQR,0.5,1000,200,3,800,200,51260907,51760907,81161d503a0a95881f74401146db8ce9cd97114c7a1f88f9b112860f9dcfe7a7,200,1400,200,200,52260907,52260908,0.8456297753994415,0.3930362207548959,0.6131279468536377,0.3914350150456498,1.0436313152313232,1.0,0.13130648887144264,0.04363131523132324,1.2340799548862624,0.33228605536807143,0.7862753261068862,1.3009873043557603,True,-0.9890299439430237,-1.0,0.15402214791204366,0.010970056056976318,0.31028004111538054,0.07122388699085609,-1.2909078066721302,-0.687152081213917,True
3,DPLQR,0.5,1000,200,4,800,200,51260908,51760908,47f789aa37d2146ec00a6179dd92af8e6f66fc77cac6a7793671bf8901975be8,200,1400,200,200,52260908,52260909,0.707188879164024,0.338171980210713,0.7514787316322327,0.37467245710715036,1.1066585779190063,1.0,0.2130040224985726,0.10665857791900635,3.016760148729726,0.5007350409061928,0.6891783652596447,1.5241387905783679,True,-0.7642422318458557,-1.0,0.13957735097885185,0.2357577681541443,6.668236663168052,1.6890832681719634,-1.0378088128219118,-0.49067565086979964,True
3,DPLQR,0.5,1000,200,5,800,200,51260909,51760909,14c719288885fb25a1876ccb701eb87f4d2ef7e303fc8a54ad158a455864b619,200,1400,200,200,52260909,52260910,0.8341759635102701,0.31766909786633085,0.6583886742591858,0.3475786861357058,0.8331512212753296,1.0,0.13313202622160608,-0.1668487787246704,-4.719196114756328,-1.25325801356723,0.5722172446921396,1.0940851978585195,True,-0.8629077076911926,-1.0,0.11368995236456463,0.13709229230880737,3.8775555815986427,1.2058435196559805,-1.0857359197298138,-0.6400794956525716,True
3,DPLQR,0.5,1000,200,6,800,200,51260910,51760910,8fdbcd3b5d0a397ceaed44f271dac9bd8fc79e212434fba59dbcf4d62fe2a8f1,200,1400,200,200,52260910,52260911,0.7231527291627291,0.36801925727299284,0.6377019286155701,0.3853394099981699,0.7637903690338135,1.0,0.15396470285855188,-0.23620963096618652,-6.681017273510496,-1.5341804100592684,0.46202509654064067,1.0655556415269862,True,-0.798514187335968,-1.0,0.16688352330867715,0.20148581266403198,5.698879377904775,1.207343952652249,-1.1255998826341258,-0.4714284920378102,True
3,DPLQR,0.5,1000,200,7,800,200,51260911,51760911,e377c0725e8a57b196666b752910fe24e4faceef20032a6a3c5712b0cdaee406,200,1400,200,200,52260911,52260912,0.8058778199592366,0.4304783855165754,0.6611272096633911,0.4205034624218271,0.7708787322044373,1.0,0.12731239348002998,-0.22912126779556274,-6.480528086892054,-1.7996776396439544,0.5213510261979865,1.020406438210888,True,-0.9614976644515991,-1.0,0.11883774555112199,0.03850233554840088,1.0890105023117653,0.3239907940851825,-1.1944153657357333,-0.728579963167465,True
3,DPLQR,0.5,1000,200,8,800,200,51260912,51760912,d51450d1c937f2ad83cec6f898d798ad647b6d18988fec1554d680db53f68e5d,200,1400,200,200,52260912,52260913,0.6954272714830784,0.33216325087206705,0.6790665984153748,0.35387037874655997,1.0289429426193237,1.0,0.16842419375092402,0.02894294261932373,0.8186300397446779,0.17184551681527607,0.6988375887423166,1.3590482964963309,True,-0.7822533249855042,-1.0,0.1516653018017921,0.21774667501449585,6.1588060193429355,1.435705282801362,-1.0795118542214144,-0.48499479574959387,True
3,DPLQR,0.5,1000,200,9,800,200,51260913,51760913,195127c8a1cfe345d343b39a3c8f3a65c3d3d999c9651781be6f3d436a29e75c,200,1400,200,200,52260913,52260914,0.7941958662138692,0.3290192782878876,0.8058833479881287,0.3546357098968015,0.8941651582717896,1.0,0.1872034417487364,-0.10583484172821045,-2.993461370872904,-0.5653466663837382,0.5272531546623243,1.2610771618812548,True,-0.8902885913848877,-1.0,0.11744629127954118,0.1097114086151123,3.103107240210965,0.9341411075636386,-1.120479092410589,-0.6600980903591864,True
3,DPLQR,0.5,1000,200,10,800,200,51260914,51760914,ac0387c38f269d2310d397967ff6c83e1fcb5205c6c5e9522432b2bcaee9c29b,200,1400,200,200,52260914,52260915,0.8253833163101048,0.3403812178543636,0.6912731528282166,0.35687272326091857,1.1247071027755737,1.0,0.15969268581745935,0.12470710277557373,3.5272495213894364,0.7809193147275589,0.8117151899788831,1.4376990155722642,True,-1.0560446977615356,-1.0,0.16055037008196288,-0.056044697761535645,-1.5851834334692951,-0.3490785959130718,-1.3707176408267598,-0.7413717546963114,True
3,DPLQR,0.5,1000,200,11,800,200,51260915,51760915,5d667289a2c7639a446760d5552f046570f3b5867700141ea6b65d5d141f7aff,200,1400,200,200,52260915,52260916,0.6972777990651544,0.36917095524924143,0.6745550036430359,0.3774049712619292,0.768713116645813,1.0,0.13345481279577223,-0.231286883354187,-6.541780944769907,-1.7330726296707528,0.5071464900025642,1.0302797432890618,True,-0.9618039727210999,-1.0,0.16696056452423017,0.038196027278900146,1.0803467961318658,0.22877274874904335,-1.2890406660270668,-0.6345672794151329,True
3,DPLQR,0.5,1000,200,12,800,200,51260916,51760916,5fed88d0b1e10cc09f08395a441fefd6a4bf7529b6f3aa569fae8f91373e6106,200,1400,200,200,52260916,52260917,0.6167199605542578,0.37240692547389437,0.6782525181770325,0.4091594961599172,1.0992933511734009,1.0,0.16494957310301778,0.09929335117340088,2.80844007765796,0.6019618560115224,0.7759981286262292,1.4225885737205726,True,-1.0178139209747314,-1.0,0.1468727764327179,-0.017813920974731445,-0.5038537728301551,-0.1212881066689167,-1.3056792730922617,-0.7299485688572012,True
3,DPLQR,0.5,1000,200,13,800,200,51260917,51760917,46777aeb66b4e26e2712e99b056e39b22d697fcd2560e176b7180f0f11020357,200,1400,200,200,52260917,52260918,0.618649964991613,0.39657184055873324,0.7159895896911621,0.4355409770879395,0.9443636536598206,1.0,0.2137608763518704,-0.05563634634017944,-1.5736335111033697,-0.26027375677762854,0.5254000347064348,1.3633272726132062,True,-0.900871217250824,-1.0,0.18211107653743316,0.09912878274917603,2.8037853797084167,0.5443314302125932,-1.2578023684500104,-0.5439400660516377,True
3,DPLQR,0.5,1000,200,14,800,200,51260918,51760918,27f214233eb5f5c300a71a4352922401de881b8e163d37ed2e9e8393c8e9d125,200,1400,200,200,52260918,52260919,0.7268984838719755,0.35203626326152254,0.64410400390625,0.37087163562407355,0.7828694581985474,1.0,0.1387812308342131,-0.21713054180145264,-6.141379140420652,-1.5645526451688196,0.51086324403335,1.0548756723637447,True,-0.6355945467948914,-1.0,0.1497335328633618,0.36440545320510864,10.306942682507579,2.433693016097096,-0.9290668784850251,-0.34212221510475765,False
3,DPLQR,0.5,1000,200,15,800,200,51260919,51760919,8ceade10cdecf2ef92ab17c73e2118616a02623087fd1486288061b714d58400,200,1400,200,200,52260919,52260920,0.9043918602634615,0.3570746013096401,0.6554619669914246,0.3624417805533895,0.9184969067573547,1.0,0.12292104921253755,-0.08150309324264526,-2.3052555967821577,-0.6630523719474745,0.6775760773589056,1.1594177361558038,True,-0.7535471320152283,-1.0,0.1403984693385972,0.24645286798477173,6.970739767796203,1.7553814450099487,-1.0287230754034298,-0.4783711886270267,True
3,DPLQR,0.5,1000,200,16,800,200,51260920,51760920,6c78d687e9cc60dd84c7fab2c537240636b712db877876605121c96f1f66a9b8,200,1400,200,200,52260920,52260921,0.6995807084207043,0.42361783555575777,0.671046257019043,0.42302072747417113,0.8738328218460083,1.0,0.17091550801494063,-0.1261671781539917,-3.568546689434351,-0.7381844960666926,0.5388445817373577,1.2088210619546589,True,-1.0315325260162354,-1.0,0.15714117699241786,-0.03153252601623535,-0.8918745189608499,-0.20066367466343218,-1.3395235734096085,-0.7235414786228622,True
3,DPLQR,0.5,1000,200,17,800,200,51260921,51760921,750c012785c454f9d89314a6a5e0b9f5bb454416ec2a78cf5618cd0e20ac22dc,200,1400,200,200,52260921,52260922,0.8367286871590305,0.3448249740259988,0.8392801284790039,0.3620651706315708,1.2067409753799438,1.0,0.1341341173680074,0.20674097537994385,5.847517825611175,1.5413004494056786,0.9438429362405808,1.469639014519307,True,-0.8030511140823364,-1.0,0.1197232149824333,0.19694888591766357,5.570555711180626,1.6450350581260402,-1.0377043035612519,-0.568397924603421,True
3,DPLQR,0.5,1000,200,18,800,200,51260922,51760922,dc2768f799a0da2400bc3ec58c91ac1c9047e56532a560c440867ae2d32cf370,200,1400,200,200,52260922,52260923,0.6071173192692801,0.36343854665756226,0.7126592397689819,0.41930726532507734,0.9738064408302307,1.0,0.15592583580809788,-0.026193559169769287,-0.7408657324941975,-0.167987293664447,0.6681974183870529,1.2794154632734085,True,-0.8627874255180359,-1.0,0.166365362609515,0.1372125744819641,3.880957675210442,0.8247664798112035,-1.188857544507632,-0.5367173065284399,True
3,DPLQR,0.5,1000,200,19,800,200,51260923,51760923,dda7aa5f301a1d20bf5c3873223f9612bfa8485613c6ab33b84133600a7158da,200,1400,200,200,52260923,52260924,0.964111658330017,0.3523580687386649,0.6757735013961792,0.3559247474401468,0.8214287161827087,1.0,0.0991912323749395,-0.17857128381729126,-5.05075862849577,-1.8002728622455042,0.6270174731456839,1.0158399592197336,True,-0.730212926864624,-1.0,0.10308617908211223,0.269787073135376,7.630730755619816,2.6171022685832583,-0.9322581251694103,-0.5281677285598377,False
3,DPLQR,0.5,1000,200,20,800,200,51260924,51760924,f9c3033b112ea8b8e4127269c62742c510b6bcd51dbaa8d32b13d7eb51e84ee9,200,1400,200,200,52260924,52260925,0.856992514172962,0.3696546086243221,0.7628562450408936,0.3807610289220864,0.8911886811256409,1.0,0.10340197255588274,-0.10881131887435913,-3.0776488578364445,-1.0523137633138764,0.6885245389857116,1.0938528232655702,True,-1.0170124769210815,-1.0,0.1185142728500395,-0.017012476921081543,-0.4811855118270559,-0.14354791631391148,-1.249296183361112,-0.7847287704810509,True
3,DPLQR,0.5,1000,500,1,800,200,51260905,51760905,3adea298d34c65375236d1230f11bc7dc55d87428ff0999b512a9e24062e09ae,500,3500,500,500,52260905,52260906,0.558626060159526,0.2769160100391933,0.7945045232772827,0.38813062917471347,0.8889057636260986,1.0,0.22406079858960776,-0.11109423637390137,-3.1422195156290744,-0.4958218352929412,0.4497546680431845,1.3280568592090127,True,-0.980567216873169,-1.0,0.3074959053841599,0.019432783126831055,0.5496421090523904,0.06319688420746074,-1.5832481168196584,-0.3778863169266795,True
3,DPLQR,0.5,1000,500,2,800,200,51260906,51760906,3275d9982ba0d6cbb95f2c8a36060118f87f247e94c5c12b7430798515bd1b66,500,3500,500,500,52260906,52260907,0.4998287129627194,0.27072453924587797,0.8725621700286865,0.4132979309037548,1.3033592700958252,1.0,0.3276552895262809,0.3033592700958252,8.580295880822378,0.9258488411232959,0.6611667032802706,1.9455518369113798,True,-0.9200872182846069,-1.0,0.36658580042372374,0.07991278171539307,2.2602747941773913,0.21799202703166534,-1.6385821843588935,-0.2015922522103203,True
3,DPLQR,0.5,1000,500,3,800,200,51260907,51760907,81161d503a0a95881f74401146db8ce9cd97114c7a1f88f9b112860f9dcfe7a7,500,3500,500,500,52260907,52260908,0.7437001357727402,0.28596082755497526,0.6770699620246887,0.35683417551214336,0.9863786697387695,1.0,0.15405392382462382,-0.013621330261230469,-0.38526939985990366,-0.08841923608993625,0.6844385273654299,1.2883188121121092,True,-1.0364454984664917,-1.0,0.2609778611022464,-0.0364454984664917,-1.030834364375208,-0.13964977072217252,-1.5479527069891914,-0.524938289943792,True
3,DPLQR,0.5,1000,500,4,800,200,51260908,51760908,47f789aa37d2146ec00a6179dd92af8e6f66fc77cac6a7793671bf8901975be8,500,3500,500,500,52260908,52260909,0.4807911001075284,0.2577082940510341,0.8638746738433838,0.42732850446131765,1.3274632692337036,1.0,0.33552810125324367,0.3274632692337036,9.26205993058672,0.9759637658085365,0.6698402749762374,1.9850862634911697,True,-0.8001284599304199,-1.0,0.38135934547894235,0.19987154006958008,5.653220853975953,0.5241029030469019,-1.5475790422369147,-0.05267787762392506,True
3,DPLQR,0.5,1000,500,5,800,200,51260909,51760909,14c719288885fb25a1876ccb701eb87f4d2ef7e303fc8a54ad158a455864b619,500,3500,500,500,52260909,52260910,0.674626159193977,0.22127292837415422,0.7385502457618713,0.3479886162975715,0.9556040167808533,1.0,0.18612228866161268,-0.04439598321914673,-1.2557080316681128,-0.23853125565129216,0.5908110342839248,1.3203969992777818,True,-0.9736971855163574,-1.0,0.2633447017962787,0.026302814483642578,0.7439559394270162,0.09987979368573065,-1.4898433165565041,-0.4575510544762107,True
3,DPLQR,0.5,1000,500,6,800,200,51260910,51760910,8fdbcd3b5d0a397ceaed44f271dac9bd8fc79e212434fba59dbcf4d62fe2a8f1,500,3500,500,500,52260910,52260911,0.5860338323440827,0.22964574822357722,0.7641287446022034,0.3878717109316605,0.7800392508506775,1.0,0.18607675505268104,-0.2199607491493225,-6.221429492734362,-1.1820968668926348,0.41533551258734114,1.1447429891140137,True,-0.8320293426513672,-1.0,0.3266678118158057,0.1679706573486328,4.750927634063211,0.5141940873052544,-1.4722864887188543,-0.19177219658388012,True
3,DPLQR,0.5,1000,500,7,800,200,51260911,51760911,e377c0725e8a57b196666b752910fe24e4faceef20032a6a3c5712b0cdaee406,500,3500,500,500,52260911,52260912,0.6679577704701909,0.302827707358769,0.7478358745574951,0.4038840079549423,0.725427508354187,1.0,0.1818535234096447,-0.274572491645813,-7.766082830801642,-1.5098552202769742,0.3690011520095718,1.0818538646988023,True,-1.1472707986831665,-1.0,0.24712808173621337,-0.1472707986831665,-4.1654472167850365,-0.5959290326235147,-1.6316329384546155,-0.6629086589117176,True
3,DPLQR,0.5,1000,500,8,800,200,51260912,51760912,d51450d1c937f2ad83cec6f898d798ad647b6d18988fec1554d680db53f68e5d,500,3500,500,500,52260912,52260913,0.6269424797062876,0.2396790555545262,0.7474679946899414,0.3670962004160155,1.0961872339248657,1.0,0.19514282647117467,0.09618723392486572,2.7205858148739717,0.49290683989900047,0.7137143222000139,1.4786601456497177,True,-0.8582265973091125,-1.0,0.3205691673217193,0.14177340269088745,4.009957377384706,0.44225526701576195,-1.486530619813677,-0.22992257480454825,True
