design,sigma,scale,error_law,n_total,n_fit,n_val,replication,data_seed,fit_seed,epoch,theta_hat_1,theta_hat_2,error_theta1,error_theta2,train_check_loss,val_check_loss,mean_sigma,hetero_ratio,p10_sigma,p90_sigma
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,200,0.3491094708442688,-0.6281829476356506,-0.6508905291557312,0.37181705236434937,0.6810824632644653,1.4017153978347778,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,10,0.014980314299464226,0.24431465566158295,-0.9850196857005358,1.244314655661583,1.1706279516220093,1.1999025344848633,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,20,0.08762219548225403,0.18153831362724304,-0.912377804517746,1.181538313627243,1.0838175535202026,1.2230528593063354,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,40,0.2439926117658615,0.0415036641061306,-0.7560073882341385,1.0415036641061306,0.9923151850700378,1.2776992321014404,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,60,0.3187163174152374,-0.11170756071805954,-0.6812836825847626,0.8882924392819405,0.8894322156906128,1.3437716960906982,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,80,0.38857805728912354,-0.24463002383708954,-0.6114219427108765,0.7553699761629105,0.8242275714874268,1.390830159187317,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,100,0.4511294364929199,-0.32227909564971924,-0.5488705635070801,0.6777209043502808,0.7629726648330688,1.4029417037963867,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,150,0.4991382658481598,-0.44620177149772644,-0.5008617341518402,0.5537982285022736,0.670673942565918,1.520758032798767,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,4,875616749,875616766,200,0.5405336618423462,-0.4702037274837494,-0.4594663381576538,0.5297962725162506,0.5737127959728241,1.6393789052963257,1.9880807872659023,4.835094779388577,0.6817992924693509,3.2965641996093837
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,10,0.31745219230651855,0.5928525924682617,-0.6825478076934814,1.5928525924682617,1.2766045570373534,1.176418662071228,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,20,0.3179624080657959,0.47432443499565125,-0.6820375919342041,1.4743244349956512,1.2079201459884643,1.1501061916351318,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,40,0.31056922674179077,0.26571470499038696,-0.6894307732582092,1.265714704990387,1.1055784225463867,1.2739404439926147,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,60,0.27039429545402527,0.1275365650653839,-0.7296057045459747,1.127536565065384,1.0227970123291015,1.3976004123687744,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,80,0.21623000502586365,0.021243862807750702,-0.7837699949741364,1.0212438628077507,0.9228123426437378,1.4608824253082275,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,100,0.16468842327594757,-0.07738404721021652,-0.8353115767240524,0.9226159527897835,0.8563372850418091,1.5187532901763916,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,150,0.1293071210384369,-0.22795157134532928,-0.8706928789615631,0.7720484286546707,0.7113647222518921,1.5880056619644165,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c1_t3,paper_case6,1.0,t3,400,320,80,5,268063558,268063575,200,0.05301118269562721,-0.31545397639274597,-0.9469888173043728,0.684546023607254,0.6291667938232421,1.745510458946228,1.94328347935851,4.416328436269773,0.7451572172018183,3.2908590078200417
case6_c10_t3,paper_case6,10.0,t3,400,320,80,1,826820112,826820129,10,-0.1731257140636444,0.48898768424987793,-1.1731257140636444,1.488987684249878,10.328967475891114,10.344263076782227,19.84603176012606,4.626087336581811,6.966364791379366,32.22701194340948
case6_c10_t3,paper_case6,10.0,t3,400,320,80,1,826820112,826820129,20,-0.17032240331172943,0.4327692985534668,-1.1703224033117294,1.4327692985534668,10.089291000366211,10.752588272094727,19.84603176012606,4.626087336581811,6.966364791379366,32.22701194340948
