n_total,replication,n_fit,data_sha256,quadrature_max_abs_error,sigma1_min_eigenvalue,sigma2_min_eigenvalue,sigma1_condition,sigma2_condition,mean_f0,mean_phi1,mean_phi2,Sigma1_11,Sigma1_12,Sigma1_22,Sigma2_11,Sigma2_12,Sigma2_22,V_oracle_11,V_oracle_12,V_oracle_22,oracle_se_1,oracle_se_2
1000,39,800,19e7b2648f8726a7032d57b42b27e28a482f8a163ef852fb9a9d5d1747afef91,6.125673637149243e-10,0.039749019315448116,0.09889316460919555,1.342744396499996,1.3274551053503725,0.681149731949124,0.44735128355410597,0.9377689123566444,0.046922971841892355,0.006802247200026531,0.04619882042574383,0.11406562480226913,0.01615943430350255,0.11610377605165781,3.6730900037630296,-0.48255046400170665,3.490361126142064,0.06775959345143526,0.06605264118623554
1000,40,800,bf04fe845f8d952c40d791b33231579234beb138fa6e6794814d53f4ad6018b5,6.171172674728621e-10,0.03765317282086874,0.09051613532413029,1.3422297587148944,1.3538812203764992,0.6816282357151578,0.46974644197028126,0.9670935653773182,0.04203626755222054,0.0061048503805146235,0.04615611433885307,0.09946353680328772,0.01437173673996134,0.11360069427724044,4.324279005580157,-0.5231253987320618,3.63972645271592,0.07352107695739499,0.06745115318432221
1000,41,800,2149409e9d6dd6c73aa19a00611d6ac8853697688a388b9e9ae17df7672587e4,6.269007185569005e-10,0.03778790205101212,0.08925909605767396,1.418869260512648,1.4477023975052505,0.6677609947177148,0.4766148748093174,0.9758921925626666,0.041902537243425755,0.006942406445948192,0.049501457447030314,0.09705507050532225,0.015835457158805,0.12142463291419775,4.536551119225586,-0.5494301029249098,3.4235600196731615,0.07530397664819556,0.06541750549043775
1000,42,800,b41e46997fd933e7b4e82b2777ead967d61f73373e171db11b8fb018dff8a980,5.989346161586133e-10,0.04371970430405551,0.10320827278613884,1.1828743866512592,1.1939525083395364,0.6565254680164841,0.47231838024631495,0.9707167461703508,0.04417581222652297,0.0018543586654373061,0.051258810490766596,0.10356795680808445,0.0026590606484917386,0.12286609215245597,4.117779485694915,-0.030536516941814824,3.3948985377057412,0.07174415904530936,0.06514309765533242
1000,43,800,078996f2721536d0f7ce96b92f890e89c5a27ec350c3d854a8f79a98dd8caab5,6.434803633784959e-10,0.04082438300379963,0.09882789235827556,1.3138756609339999,1.3221626193400275,0.6655270990574356,0.46409673304009613,0.9587832493657118,0.04273017609003418,0.00455942610659085,0.051732370115105425,0.10294884067071335,0.01068752670080627,0.1265455967118341,4.064850036686042,-0.32856261304138235,3.2569935914519266,0.07128157227402852,0.06380628487316048
1000,44,800,e2df38568f1522b11df82bff9bfc47e8d2239f630aa07f82139b877d3c557eb4,6.148241526165354e-10,0.04094987598423416,0.09793588694508953,1.3132613722702617,1.325129841841752,0.6639709879996967,0.47267469066836376,0.970156174104738,0.045216040508284976,0.006043695886366936,0.04951172580530159,0.10612330798834478,0.013916501370234105,0.121590345334923,4.070897521440707,-0.436277965256162,3.3954992924571608,0.07133457718246379,0.06514886119934447
1000,45,800,7b5f6d14f3d8bda0bcfe45db7a74ba67a65c45440d878eed9d9fcecfd8f7b7b5,6.024854341335439e-10,0.040616929551061366,0.09474539919048575,1.2451197520797677,1.311129157682702,0.6614469395548048,0.471937620826468,0.9721702388519792,0.04181675702529937,0.0032412822163019666,0.049373113778620914,0.09683742310625798,0.007569163400911594,0.12213143151916067,4.479949954520209,-0.2622385391937242,3.325355549053878,0.07483272975877775,0.06447243159922966
1000,46,800,13bec49aa1a5f7bb5f48fde845857799bf972cc54c573e1d3881d2c9a0e751cd,6.163123034060383e-10,0.03881496278321534,0.09071671060238774,1.2368204186542002,1.2513648010045026,0.6600282866717169,0.4786326375378641,0.9794644419555877,0.042108936618824436,0.004407779796931843,0.0447131646839745,0.09647660583647553,0.00990789726776639,0.1077598032766522,4.5633799459279905,-0.3907694944367947,3.8838220499236478,0.07552631946818267,0.06967623384199637
1000,47,800,69360ce77dc7f94dfdd9027730e49de24417e5321de743e7e476bd5cfbe0387c,6.190599924769105e-10,0.03976749899213562,0.09725351220903694,1.2647625262225148,1.2439703500508803,0.6674481629947673,0.46704801643521493,0.963358080742817,0.04393819394184282,0.00514959368257563,0.04612574753713759,0.10427867999569336,0.01083203521483884,0.11395531783969683,4.068901468363598,-0.32174181134337343,3.576412315601938,0.07131708656033628,0.06686191288396125
1000,48,800,d6189ecbf826b81f477115686c78614f94998721224cd2da84975893e58b2f56,6.203954788069385e-10,0.039314502123059536,0.09190842871037475,1.2334499994525634,1.271606441931107,0.6637580806163231,0.48018172244096424,0.9827216533628732,0.043062001270017684,0.004511173545736732,0.04474497347520743,0.0984894428465788,0.010998708602902075,0.1102903358796744,4.491914853712309,-0.4433965902081154,3.7222509546478024,0.07493259349001866,0.06821153636526414
