case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time,oracle_se_1,oracle_se_2,ci_lower_1,ci_upper_1,covered_1,T_oracle_1,ci_lower_2,ci_upper_2,covered_2,T_oracle_2
6,0.5,2000,1600,400,45,82260949,82260949,82760949,1b44a586bbf3e0142913a9b684cab6afb296f8d4e1fa223dd4135547d25453f0,09963d5da594265befe8aa38b4fb1986ba23ba9c84dba444a40cb620df929ea8,200,2600,0.9822158217430115,-0.864454448223114,1.0,-1.0,-0.017784178256988525,0.135545551776886,0.0003162769962763434,0.01837259660650048,0.28260554194450377,0.4047399628162384,0.301894690990448,0.4013356959819794,8.873668500003987,0.049395687405630787,0.047354539685109005,0.8854020534363763,1.0790295900496465,True,-0.3600350393131941,-0.9572676405104004,-0.7716412559358277,False,2.8623560207366836
6,0.5,2000,1600,400,45,82260949,82260949,82760949,1b44a586bbf3e0142913a9b684cab6afb296f8d4e1fa223dd4135547d25453f0,09963d5da594265befe8aa38b4fb1986ba23ba9c84dba444a40cb620df929ea8,500,6500,1.0243667364120483,-0.8880951404571533,1.0,-1.0,0.02436673641204834,0.11190485954284668,0.0005937378433742424,0.012522697589304244,0.22068991065025328,0.44884457349777224,0.2840743088722229,0.4404189133644104,22.197975999995833,0.049395687405630787,0.047354539685109005,0.9275529681054132,1.1211805047186834,True,0.49329683808126723,-0.9809083327444397,-0.795281948169867,False,2.363128441052844
6,0.5,2000,1600,400,45,82260949,82260949,82760949,1b44a586bbf3e0142913a9b684cab6afb296f8d4e1fa223dd4135547d25453f0,09963d5da594265befe8aa38b4fb1986ba23ba9c84dba444a40cb620df929ea8,1000,13000,1.0089832544326782,-0.9109514355659485,1.0,-1.0,0.008983254432678223,0.08904856443405151,8.069886020223294e-05,0.007929646827765424,0.18855977058410645,0.4720419812202454,0.31999276995658876,0.4689115655422211,44.76636249999865,0.049395687405630787,0.047354539685109005,0.9121694861260431,1.1057970227393132,True,0.18186313227932102,-1.0037646278532348,-0.8181382432786621,True,1.8804652104358541
6,0.5,2000,1600,400,45,82260949,82260949,82760949,1b44a586bbf3e0142913a9b684cab6afb296f8d4e1fa223dd4135547d25453f0,09963d5da594265befe8aa38b4fb1986ba23ba9c84dba444a40cb620df929ea8,2000,26000,0.9819141030311584,-0.9185980558395386,1.0,-1.0,-0.018085896968841553,0.08140194416046143,0.00032709966916755207,0.00662627651310288,0.1707382792234421,0.5073921263217926,0.43668131113052366,0.5416072058677673,72.58719859999837,0.049395687405630787,0.047354539685109005,0.8851003347245233,1.0787278713377935,True,-0.3661432387876817,-1.011411248126825,-0.8257848635522522,True,1.7189892395059831
6,0.5,2000,1600,400,46,82260950,82260950,82760950,3b268dce9d46bd3685b9b6902630592d7dea0af1765f90096e47d4d7ebc870e7,d058c48b6867f2d15f40c659a23e2a836085c5cded94dae746b47f39cd2d1958,200,2600,1.0009539127349854,-1.032477855682373,1.0,-1.0,0.0009539127349853516,-0.03247785568237305,9.099495059672336e-07,0.0010548111097250512,0.286758531332016,0.4746754610538483,0.2964873600006104,0.46990722775459287,8.973626100007095,0.05130971691846677,0.04512595209845726,0.9003887155178449,1.1015191099521258,True,0.018591268716238635,-1.120923096563429,-0.9440326148013172,True,-0.7197156884692829
6,0.5,2000,1600,400,46,82260950,82260950,82760950,3b268dce9d46bd3685b9b6902630592d7dea0af1765f90096e47d4d7ebc870e7,d058c48b6867f2d15f40c659a23e2a836085c5cded94dae746b47f39cd2d1958,500,6500,0.983762800693512,-1.0155075788497925,1.0,-1.0,-0.016237199306488037,-0.01550757884979248,0.0002636466413186156,0.00024048500178253107,0.24875388622283937,0.5190921425819397,0.3059234690666199,0.4975726008415222,22.928065400003106,0.05130971691846677,0.04512595209845726,0.8831976034763716,1.0843279979106524,True,-0.31645466554199875,-1.1039528197308484,-0.9270623379687366,True,-0.3436510063202111
6,0.5,2000,1600,400,46,82260950,82260950,82760950,3b268dce9d46bd3685b9b6902630592d7dea0af1765f90096e47d4d7ebc870e7,d058c48b6867f2d15f40c659a23e2a836085c5cded94dae746b47f39cd2d1958,1000,13000,0.9833965301513672,-0.9700361490249634,1.0,-1.0,-0.016603469848632812,0.02996385097503662,0.0002756752110144589,0.0008978323652542031,0.21052494049072265,0.561903829574585,0.33189270973205565,0.5159638810157776,46.18198850000044,0.05130971691846677,0.04512595209845726,0.8828313329342268,1.0839617273685076,True,-0.32359309007719533,-1.0584813899060193,-0.8815909081439075,True,0.6640048482447644
6,0.5,2000,1600,400,46,82260950,82260950,82760950,3b268dce9d46bd3685b9b6902630592d7dea0af1765f90096e47d4d7ebc870e7,d058c48b6867f2d15f40c659a23e2a836085c5cded94dae746b47f39cd2d1958,2000,26000,0.9779062271118164,-0.9461840391159058,1.0,-1.0,-0.022093772888183594,0.05381596088409424,0.0004881348004346364,0.002896157645878361,0.20067225098609925,0.5960998582839966,0.4920076632499695,0.616756615638733,91.96512930000608,0.05130971691846677,0.04512595209845726,0.877341029894676,1.0784714243289568,True,-0.43059627328078026,-1.0346292799969616,-0.8577387982348499,True,1.1925723088717737
6,0.5,2000,1600,400,47,82260951,82260951,82760951,fc646f1793f3d7e11f2a1ddd61e3c24375d518792e1828f12d8981a037868655,a9c484a14adccacbf7ce89f88a2d1e681fa1d879cbb324417dc6ecc0a27b3d6e,200,2600,0.9338018894195557,-0.9510398507118225,1.0,-1.0,-0.06619811058044434,0.04896014928817749,0.004382189844420736,0.002397096218320627,0.29036868929862975,0.4081848728656769,0.3114019799232483,0.40404566287994387,8.937563300001784,0.049659676420104694,0.04542284362486698,0.8364707121522374,1.0311330666868739,True,-1.3330354797407433,-1.0400669882919567,-0.8620127131316884,True,1.0778750377788764
6,0.5,2000,1600,400,47,82260951,82260951,82760951,fc646f1793f3d7e11f2a1ddd61e3c24375d518792e1828f12d8981a037868655,a9c484a14adccacbf7ce89f88a2d1e681fa1d879cbb324417dc6ecc0a27b3d6e,500,6500,0.9513800740242004,-1.0058650970458984,1.0,-1.0,-0.04861992597579956,-0.0058650970458984375,0.002363897201892229,3.439936335780658e-05,0.2509057343006134,0.44732123494148257,0.3125655448436737,0.43601219296455385,22.83541139999579,0.049659676420104694,0.04542284362486698,0.8540488967568822,1.0487112512915187,True,-0.9790624804819672,-1.0948922346260326,-0.9168379594657643,True,-0.12912219002263342
6,0.5,2000,1600,400,47,82260951,82260951,82760951,fc646f1793f3d7e11f2a1ddd61e3c24375d518792e1828f12d8981a037868655,a9c484a14adccacbf7ce89f88a2d1e681fa1d879cbb324417dc6ecc0a27b3d6e,1000,13000,0.9732007384300232,-1.008183240890503,1.0,-1.0,-0.026799261569976807,-0.00818324089050293,0.0007182004206960357,6.696543147199918e-05,0.22746057987213134,0.4627623200416565,0.3644104862213135,0.45894302606582643,47.64051820000168,0.049659676420104694,0.04542284362486698,0.875869561162705,1.0705319156973414,True,-0.5396584009783668,-1.097210378470637,-0.9191561033103688,True,-0.1801569482986523
6,0.5,2000,1600,400,47,82260951,82260951,82760951,fc646f1793f3d7e11f2a1ddd61e3c24375d518792e1828f12d8981a037868655,a9c484a14adccacbf7ce89f88a2d1e681fa1d879cbb324417dc6ecc0a27b3d6e,2000,26000,0.9955272078514099,-1.0227793455123901,1.0,-1.0,-0.004472792148590088,-0.022779345512390137,2.0005869604489135e-05,0.0005188985819728487,0.19854844152927398,0.5045627140998841,0.5421167182922363,0.6380624556541443,94.8168325000006,0.049659676420104694,0.04542284362486698,0.8981960305840917,1.0928583851187281,True,-0.0900688943430022,-1.1118064830925243,-0.933752207932256,True,-0.5014953643263201
6,0.5,2000,1600,400,48,82260952,82260952,82760952,f30ae26b2e22318bb9ffb544fe2db7bca4e9ad0d4a3acb2d074d17946ed60854,b9e01ea1332faddc383b3a0cf190e0bf1a0b67dd7d68960ccce8b3ac078ead56,200,2600,0.963116466999054,-0.8963841795921326,1.0,-1.0,-0.036883533000946045,0.10361582040786743,0.001360395006631876,0.010736238238795437,0.2688806879520416,0.4116103494167328,0.2798568034172058,0.4119253695011139,9.31805250000616,0.05083332621639235,0.04568127369491019,0.8634849784005492,1.0627479555975587,True,-0.725577799964074,-0.9859178308020735,-0.8068505283821916,False,2.268234049249207
6,0.5,2000,1600,400,48,82260952,82260952,82760952,f30ae26b2e22318bb9ffb544fe2db7bca4e9ad0d4a3acb2d074d17946ed60854,b9e01ea1332faddc383b3a0cf190e0bf1a0b67dd7d68960ccce8b3ac078ead56,500,6500,1.0269982814788818,-0.8888490200042725,1.0,-1.0,0.026998281478881836,0.11115097999572754,0.000728907202812934,0.012354540354010624,0.21779099225997925,0.44840519547462465,0.2941501021385193,0.47345069885253904,24.67260800000804,0.05083332621639235,0.04568127369491019,0.927366792880377,1.1266297700773866,True,0.5311138083695895,-0.9783826712142134,-0.7993153687943315,False,2.43318478241363
6,0.5,2000,1600,400,48,82260952,82260952,82760952,f30ae26b2e22318bb9ffb544fe2db7bca4e9ad0d4a3acb2d074d17946ed60854,b9e01ea1332faddc383b3a0cf190e0bf1a0b67dd7d68960ccce8b3ac078ead56,1000,13000,1.0359268188476562,-0.8472423553466797,1.0,-1.0,0.03592681884765625,0.1527576446533203,0.0012907363125123084,0.02333489800003008,0.20144125282764436,0.4740928101539612,0.31183076977729796,0.4679053735733032,47.51352049999696,0.05083332621639235,0.04568127369491019,0.9362953302491515,1.135558307446161,True,0.7067571910348617,-0.9367760065566206,-0.7577087041367387,False,3.343988297557924
6,0.5,2000,1600,400,48,82260952,82260952,82760952,f30ae26b2e22318bb9ffb544fe2db7bca4e9ad0d4a3acb2d074d17946ed60854,b9e01ea1332faddc383b3a0cf190e0bf1a0b67dd7d68960ccce8b3ac078ead56,2000,26000,1.044933795928955,-0.8227055072784424,1.0,-1.0,0.04493379592895508,0.17729449272155762,0.00201904601658498,0.03143333714939445,0.1659279680252075,0.5210155308246612,0.4266055464744568,0.5210552215576172,93.0534195000073,0.05083332621639235,0.04568127369491019,0.9453023073304503,1.1445652845274599,True,0.8839436502281286,-0.9122391584883833,-0.7331718560685014,False,3.8811197320295334
6,0.5,2000,1600,400,49,82260953,82260953,82760953,1a1406f9054513f79261aea35e675c3a3dd59914fd4ee4cca86e4323d7017d2f,7682bed2633df53d5a95dfcec6d86fd6e566f4e95723992eabfde476bc778d89,200,2600,0.9348780512809753,-1.0823888778686523,1.0,-1.0,-0.06512194871902466,-0.08238887786865234,0.004240868204963277,0.006787927196455712,0.2809552580118179,0.4192373728752136,0.2924385064840317,0.4235376489162445,9.003396000000066,0.0510234600426323,0.048275375827307086,0.8348739072307975,1.034882195331153,True,-1.2763138498371625,-1.1770068758303098,-0.987770879906995,True,-1.7066439454221478
6,0.5,2000,1600,400,49,82260953,82260953,82760953,1a1406f9054513f79261aea35e675c3a3dd59914fd4ee4cca86e4323d7017d2f,7682bed2633df53d5a95dfcec6d86fd6e566f4e95723992eabfde476bc778d89,500,6500,0.9137260913848877,-1.1008232831954956,1.0,-1.0,-0.0862739086151123,-0.1008232831954956,0.007443187307728749,0.010165334434319107,0.22855208218097686,0.44268922209739686,0.2934709751605988,0.4399674892425537,22.564451900005224,0.0510234600426323,0.048275375827307086,0.8137219473347098,1.0137302354350655,True,-1.690867466514947,-1.195441281157153,-1.0062052852338381,False,-2.088503330479815
6,0.5,2000,1600,400,49,82260953,82260953,82760953,1a1406f9054513f79261aea35e675c3a3dd59914fd4ee4cca86e4323d7017d2f,7682bed2633df53d5a95dfcec6d86fd6e566f4e95723992eabfde476bc778d89,1000,13000,0.9110170006752014,-1.1560752391815186,1.0,-1.0,-0.08898299932479858,-0.15607523918151855,0.007917974168837105,0.024359480285568225,0.18793864846229552,0.4636508870124817,0.30852687954902647,0.4472519588470459,45.40668749999895,0.0510234600426323,0.048275375827307086,0.8110128566250235,1.0110211447253792,True,-1.7439624684497965,-1.250693237143176,-1.061457241219861,False,-3.2330196607860318
6,0.5,2000,1600,400,49,82260953,82260953,82760953,1a1406f9054513f79261aea35e675c3a3dd59914fd4ee4cca86e4323d7017d2f,7682bed2633df53d5a95dfcec6d86fd6e566f4e95723992eabfde476bc778d89,2000,26000,0.8933932781219482,-1.1957398653030396,1.0,-1.0,-0.10660672187805176,-0.19573986530303955,0.01136499314958428,0.03831409486885207,0.1780025142431259,0.494801025390625,0.396130450963974,0.5045273852348328,90.5564127999969,0.0510234600426323,0.048275375827307086,0.7933891340717704,0.9933974221721261,False,-2.0893667695012694,-1.290357863264697,-1.101121867341382,False,-4.054652334623956
