n,replication,seed,experiment,theta1_hat,theta2_hat,theta1_error,theta2_error,sqrt_n_theta1_error,sqrt_n_theta2_error,oracle_se1,oracle_se2,T1,T2,coverage1,coverage2,empirical_check_loss,Cn1,Cn2,lhs1,lhs2,minus_Sn1,minus_Sn2,IF_gap1,IF_gap2,IF_gap_norm
1000,26,1020290155,experiment0_exact_m0,0.8868094221802671,-0.9019216331704656,-0.1131905778197328,0.0980783668295345,-3.5794003558089167,3.101510283708364,0.1047168092838817,0.1012999180377841,-1.0809208053014605,0.9681978892910056,1.0,1.0,0.5436899384458859,0.0,0.0,-0.2063142884559577,0.1870636983443067,-0.2193985290787153,0.1820753268497771,0.0130842406227576,0.0049883714945296,0.0140028998011717
1000,27,1020291164,experiment0_exact_m0,1.0450153625498553,-1.026600357114899,0.0450153625498552,-0.0266003571148989,1.4235107535578764,-0.8411771505694593,0.0993768515891224,0.1011140649700079,0.4529763403651895,-0.2630727695774968,1.0,1.0,0.5845149969592606,0.0,0.0,0.0947052037579974,-0.049836526703591,0.2421095765001198,-0.0258800943558634,-0.1474043727421223,-0.0239564323477275,0.1493384068293544
1000,28,1020292173,experiment0_exact_m0,0.9535069552626984,-0.933073540495962,-0.0464930447373015,0.0669264595040379,-1.4702391672597768,2.11640047763783,0.1014836555277691,0.0967311332015886,-0.4581333269432687,0.6918812722328248,1.0,1.0,0.5248833724194933,0.0,0.0,-0.0825686023491078,0.1447208963118191,-0.1963543649554325,0.0911854855585112,0.1137857626063247,0.0535354107533079,0.125750705669703
1000,29,1020293182,experiment0_exact_m0,1.0983824880604047,-1.062750955368585,0.0983824880604047,-0.0627509553685849,3.111127441452002,-1.9843594431629932,0.1041601988049412,0.0977789449325332,0.9445305326715407,-0.6417634738427859,1.0,1.0,0.5363892417825211,0.0,0.0,0.1867767097535767,-0.1274189712599091,0.2901896389360963,0.0469213091698139,-0.1034129291825196,-0.174340280429723,0.2027036440284764
1000,30,1020294191,experiment0_exact_m0,0.984080208492662,-1.034984246867806,-0.015919791507338,-0.0349842468678058,-0.5034280103819332,-1.1062990232787813,0.0993054428765295,0.0987699310878233,-0.1603113691072476,-0.3541993649534785,1.0,1.0,0.5487975408940776,0.0,0.0,-0.0393440735562707,-0.0794471529394401,0.0790391148858451,0.0478553744983945,-0.1183831884421158,-0.1273025274378346,0.1738404808949347
1000,31,1020295200,experiment0_exact_m0,1.0365573855696542,-1.081675670509465,0.0365573855696541,-0.081675670509465,1.156046037010792,-2.582811482313545,0.101125727769584,0.0992088475152848,0.3615043013875808,-0.8232700263641449,1.0,1.0,0.5371716294206056,0.0,0.0,0.0647917401511845,-0.1738031692305893,0.1140744042482342,-0.1365863833324588,-0.0492826640970496,-0.0372167858981304,0.0617565391929462
1000,32,1020296209,experiment0_exact_m0,1.152639357053811,-1.124836788984286,0.1526393570538109,-0.1248367889842858,4.826880288737311,-3.947685889721612,0.1055791099506178,0.1002068725168007,1.44573445566272,-1.2457906912857266,1.0,1.0,0.5601546741698866,0.0,0.0,0.2763665313929095,-0.2446231481037572,0.1139504070470334,-0.2262661160792628,0.1624161243458761,-0.0183570320244944,0.1634502311784336
1000,33,1020297218,experiment0_exact_m0,0.9808077074509252,-0.9693900849652364,-0.0191922925490747,0.0306099150347637,-0.6069135797535505,0.9679705049408556,0.1034265546855933,0.098817201224264,-0.185564457864979,0.3097630235984425,1.0,1.0,0.5702031188125818,0.0,0.0,-0.0328005148429705,0.0641828888499599,-0.1245949629222358,-0.099469496261439,0.0917944480792653,0.1636523851113989,0.187638812218652
1000,34,1020298227,experiment0_exact_m0,1.0219517071713786,-1.0331959613547654,0.0219517071713786,-0.0331959613547654,0.6941739319060861,-1.0497484699998758,0.1008146930792546,0.0981126536986976,0.2177431334748147,-0.3383453622272788,1.0,1.0,0.558544711709608,0.0,0.0,0.0418280223972254,-0.0713084737789748,0.0490704166628655,0.0700219565511585,-0.0072423942656401,-0.1413304303301334,0.1415158747702874
1000,35,1020299236,experiment0_exact_m0,0.9474803966950216,-1.06223950490363,-0.0525196033049785,-0.0622395049036299,-1.6608156825223892,-1.968185959366893,0.1041501365321918,0.0982260675333502,-0.5042682136930773,-0.6336353115480071,1.0,1.0,0.5520648014143703,0.0,0.0,-0.1073927855012831,-0.1415241050580968,-0.2839173474837316,-0.6575145215773931,0.1765245619824485,0.5159904165192962,0.5453503744592573
