case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time
6,0.5,1000,800,200,14,81260918,81260918,81760918,1e4a9a4a189f36ce297a3d79acc892d3c62fc174e54c7f544eb2b04b941ec38c,0ada7864c54b9f139de1f4ebc0859ef74f9de35ace6553853f45c9d324f15d76,200,1400,0.7756924033164978,-1.1237841844558716,1.0,-1.0,-0.2243075966835022,-0.12378418445587158,0.050313897929928686,0.01532252432140524,0.23701323807239533,0.4476908910274506,0.24639877796173096,0.45354328870773314,4.780390299994906
6,0.5,1000,800,200,14,81260918,81260918,81760918,1e4a9a4a189f36ce297a3d79acc892d3c62fc174e54c7f544eb2b04b941ec38c,0ada7864c54b9f139de1f4ebc0859ef74f9de35ace6553853f45c9d324f15d76,500,3500,0.825213611125946,-1.162645697593689,1.0,-1.0,-0.17478638887405396,-0.16264569759368896,0.030550281735632012,0.02645362294573772,0.15963868260383607,0.514244692325592,0.2503304719924927,0.5280902338027954,11.633601499997894
6,0.5,1000,800,200,14,81260918,81260918,81760918,1e4a9a4a189f36ce297a3d79acc892d3c62fc174e54c7f544eb2b04b941ec38c,0ada7864c54b9f139de1f4ebc0859ef74f9de35ace6553853f45c9d324f15d76,1000,7000,0.9172028303146362,-1.177219033241272,1.0,-1.0,-0.08279716968536377,-0.17721903324127197,0.006855371307906921,0.03140658574297106,0.12721492886543273,0.5415927350521088,0.3173076593875885,0.6010726857185363,23.476913699996658
6,0.5,1000,800,200,14,81260918,81260918,81760918,1e4a9a4a189f36ce297a3d79acc892d3c62fc174e54c7f544eb2b04b941ec38c,0ada7864c54b9f139de1f4ebc0859ef74f9de35ace6553853f45c9d324f15d76,2000,14000,0.9748167395591736,-1.1824474334716797,1.0,-1.0,-0.025183260440826416,-0.1824474334716797,0.0006341966064304927,0.033287065980402986,0.09601311802864075,0.6038744020462036,0.38945722103118896,0.6783912897109985,46.925245699996594
6,0.5,1000,800,200,15,81260919,81260919,81760919,3d59d003ce152e55d68a0a114eaf4d2a685342c5af42fb9e9ea4b475dc8f9ec9,de0f4169ce2864a974ed088ccff46e1346888f0c84fdf75e31ef9ba75d3e12d4,200,1400,0.9342271089553833,-0.936022162437439,1.0,-1.0,-0.0657728910446167,0.06397783756256104,0.00432607319636702,0.004093163699181446,0.27721516489982606,0.3571962881088257,0.2794752287864685,0.35702127099037173,4.455790399995749
6,0.5,1000,800,200,15,81260919,81260919,81760919,3d59d003ce152e55d68a0a114eaf4d2a685342c5af42fb9e9ea4b475dc8f9ec9,de0f4169ce2864a974ed088ccff46e1346888f0c84fdf75e31ef9ba75d3e12d4,500,3500,1.0011537075042725,-1.0182441473007202,1.0,-1.0,0.001153707504272461,-0.018244147300720215,1.3310410054145905e-06,0.0003328489107303767,0.22579876840114593,0.3956004047393799,0.2593688893318176,0.3937339961528778,11.645571499997459
6,0.5,1000,800,200,15,81260919,81260919,81760919,3d59d003ce152e55d68a0a114eaf4d2a685342c5af42fb9e9ea4b475dc8f9ec9,de0f4169ce2864a974ed088ccff46e1346888f0c84fdf75e31ef9ba75d3e12d4,1000,7000,1.075695514678955,-1.0908316373825073,1.0,-1.0,0.07569551467895508,-0.09083163738250732,0.005729810942511904,0.008250386349587302,0.16756811261177063,0.4475328814983368,0.31091917991638185,0.4382630181312561,23.45158519999677
6,0.5,1000,800,200,15,81260919,81260919,81760919,3d59d003ce152e55d68a0a114eaf4d2a685342c5af42fb9e9ea4b475dc8f9ec9,de0f4169ce2864a974ed088ccff46e1346888f0c84fdf75e31ef9ba75d3e12d4,2000,14000,1.100074291229248,-1.0722477436065674,1.0,-1.0,0.10007429122924805,-0.07224774360656738,0.010014863765036353,0.005219736456240298,0.12327741026878357,0.48332801818847654,0.4084542977809906,0.5252355313301087,47.834963599998446
6,0.5,1000,800,200,16,81260920,81260920,81760920,32d1a2b53dfe6b1794a1c7894278117bdcc1b037db48160e0a8d398fb2703075,2fe39be28dd40fc517dd9868a1524e200150ec969163cd86f1d94c30e9e787af,200,1400,0.996924877166748,-0.805679440498352,1.0,-1.0,-0.003075122833251953,0.19432055950164795,9.45638043958752e-06,0.0377604798450335,0.22601740002632142,0.44290675640106203,0.23624478578567504,0.43892316579818724,4.57822500000475
6,0.5,1000,800,200,16,81260920,81260920,81760920,32d1a2b53dfe6b1794a1c7894278117bdcc1b037db48160e0a8d398fb2703075,2fe39be28dd40fc517dd9868a1524e200150ec969163cd86f1d94c30e9e787af,500,3500,1.019754409790039,-0.8313911557197571,1.0,-1.0,0.019754409790039062,0.16860884428024292,0.00039023670615279116,0.028428942369519206,0.15279354989528657,0.5098217487335205,0.2505108165740967,0.48050867795944213,11.743218499999784
