case,n,n_train,n_val,rep,tau,method,setting_seed,fit_seed,data_sha256,theta1,theta2,se_theta1,se_theta2,lower_theta1,upper_theta1,lower_theta2,upper_theta2,covered_theta1,covered_theta2,t_theta1,root_n_error_theta1,root_n_train_error_theta1,fit_seconds,inference_seconds,density_seconds,projection_seconds,total_seconds,inference_wall_seconds,epochs_run,best_epoch,best_validation_loss,density_zero,projection_epochs,projection_best_epochs,selected_hyperparameters
3,500,400,100,10,0.5,DPLQR,50760914,51260914,daf4bda9b630ee6234bbcc97d3680cd6d153ff2f3c72a437ea0fee22d323a3a0,0.08344872295856476,-0.007548339664936066,0.20326328173670968,0.18958083505661497,-0.3149399886248043,0.48183743454193384,-0.3791199485349299,0.3640232692050578,False,False,-4.509182717165117,-20.494709603288918,-18.331025540828705,0.4604862999985926,0.7206317000018316,0.23093109999899752,0.4897006000028341,1.1811180000004242,0.7334073000019998,38,23,0.6461057066917419,0.29933970227807066,"[19, 27]","[4, 12]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,11,0.5,DPLQR,50760915,51260915,22b6507fa8101718890ddd8e426616d653728ac3a53ec725c87a240c643a2ed5,0.7287756204605103,-0.5252465605735779,0.16394249137912179,0.14694393378182488,0.40745424182166323,1.0500969990993574,-0.8132513785325932,-0.23724174261456255,True,False,-1.6543873236150564,-6.064761498055022,-5.424487590789795,0.6175240999946254,0.8083821000036551,0.2341835999977775,0.5741985000058776,1.4259061999982805,0.8218638000034844,51,36,0.6244226694107056,0.39165300604333336,"[35, 25]","[20, 10]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,12,0.5,DPLQR,50760916,51260916,5306340881a59e856eb800d53125d513bcffc6a7aec479099bc2abc2aeca4289,0.4492141604423523,0.07462827116250992,0.14710434612801887,0.14674297507804268,0.16089494006212118,0.7375333808225835,-0.21298267497471246,0.3622392172997323,False,False,-3.7441846828802827,-12.31594578295193,-11.015716791152954,0.6274200000043493,0.8273359000086202,0.2344368999983999,0.5928990000102203,1.4547559000129695,0.8385753999973531,54,39,0.6458398699760437,0.3955627228519501,"[21, 39]","[6, 24]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,13,0.5,DPLQR,50760917,51260917,941a5bcfb949cc48da8c5716148e5b19ba0caf12c56bfabb46528f8e9cd2a639,0.19625204801559448,-0.3615635931491852,0.12951753650488765,0.13378865099409776,-0.05759765890033702,0.450101754931526,-0.6237845306378157,-0.09934265566055467,False,False,-6.205707533312094,-17.972350574133678,-16.07495903968811,0.8255261000012979,0.8583522999906563,0.23661909999646014,0.6217331999941962,1.6838783999919542,0.8713931000020239,67,52,0.5814276337623596,0.44356643112894567,"[19, 44]","[4, 29]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,14,0.5,DPLQR,50760918,51260918,3836b881414d7651c029c3e6b3f5459e13cd288dbe974a10bab43d45907c03c9,-0.026783164590597153,-0.39515331387519836,0.20767345405928728,0.18422736129248538,-0.43381565509183373,0.3802493259106394,-0.7562323069753181,-0.034074320775078604,False,False,-4.944219612668781,-22.959569541769305,-20.535663291811943,0.6734909000006155,0.9131902000008267,0.24824330000410555,0.6649468999967212,1.5866811000014422,0.9277483000041684,40,25,0.6060010194778442,0.32056240054246476,"[28, 33]","[13, 18]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,15,0.5,DPLQR,50760919,51260919,5ad80f8887cde7f3b4198ba08c89f6b396f526062c5e7bc771d266eea837cded,0.24600736796855927,-0.145019069314003,0.20195274133684535,0.18644996763546914,-0.149812731630791,0.6418274675679095,-0.5104542907981813,0.22041615217017524,False,False,-3.733510261065608,-16.85978779756287,-15.079852640628815,0.3866686999972444,0.6049892000010004,0.23230530000000726,0.37268390000099316,0.9916578999982448,0.6170943000033731,33,18,0.5680318474769592,0.29523581529238874,"[21, 20]","[6, 5]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,16,0.5,DPLQR,50760920,51260920,afdbae6a221ff658959261123855ad2d5d17b1e20aa51367f509c2e1fbb6dfed,0.7579725384712219,-0.5807583928108215,0.1269886015445446,0.13283590538580203,0.509079452996807,1.0068656239456368,-0.8411119832207636,-0.3204048024008794,True,False,-1.9058991010612913,-5.41189856400063,-4.8405492305755615,1.2236991999961901,0.7744826000125613,0.22531160000653472,0.5491710000060266,1.9981818000087515,0.7876906000019517,97,82,0.5946183800697327,0.4555095175324012,"[20, 39]","[5, 24]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,17,0.5,DPLQR,50760921,51260921,3267aea22e794544fd05ab6da634d384959c9d2406c4714b1b2a3293a76386e1,0.2802632451057434,-0.49084359407424927,0.16023818134469367,0.1566025430632544,-0.03379781927805414,0.594324309489541,-0.7977789383656109,-0.18390824978288772,False,False,-4.491668270660205,-16.093803098486624,-14.394735097885132,0.2657803000038257,0.4025127000059001,0.2113521000064793,0.1911605999994208,0.6682930000097258,0.4096836000026087,54,39,0.554009735584259,0.3669001059751881,"[19, 30]","[4, 15]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,18,0.5,DPLQR,50760922,51260922,17906c62fe04baf17b6bcbc78e84d451a85b3c9c4e821355f0baea8597613acd,0.14819082617759705,-0.1518714427947998,0.2378286967475358,0.22667856355843533,-0.3179448539376714,0.6143265062928656,-0.5961532634366066,0.29241037784700696,False,False,-3.5816080459232,-19.047032165248275,-17.03618347644806,0.1707682999985991,0.4493326000010711,0.21443590000126278,0.23489669999980833,0.6201008999996702,0.4556239000012283,33,18,0.5413809418678284,0.2630215873064054,"[33, 27]","[18, 12]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,19,0.5,DPLQR,50760923,51260923,e8a950b6446040c8dea1b96f44b99dd873301bf985d31795cc9c9eaf66118e2b,0.3671174645423889,-0.10580339282751083,0.0773496594002463,0.07573785233134239,0.21551491790146615,0.5187200111833117,-0.2542468556633549,0.042640070008333225,False,False,-8.182098542706651,-14.151683710556394,-12.657650709152222,0.48005320000083884,0.42331800000101794,0.21790909999981523,0.2054089000012027,0.9033712000018568,0.4290153999972972,100,99,0.765534520149231,0.7654514070939685,"[23, 33]","[8, 18]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,20,0.5,DPLQR,50760924,51260924,7182367abc879414591563ca3db96364533ee54ea069680d7f711658b291f995,-0.045704253017902374,-0.0031946622766554356,0.16503869518725764,0.1774287858388672,-0.3691741516404113,0.27776564560460654,-0.3509486923415055,0.3445593677881946,False,False,-6.336115611138444,-23.382657941086695,-20.914085060358047,0.2621718000009423,0.38446350000594975,0.2203488000013749,0.16411470000457484,0.6466353000068921,0.3915417000025627,50,35,0.6124933362007141,0.3593428051525715,"[18, 26]","[3, 11]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
