case,n,rep,tau,theta1,theta2,error_theta1,error_theta2,selection_val_loss,relative_mse,train_check_loss,validation_check_loss,test_check_loss,epoch_budget,rule,selected_epoch,epochs_trained
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,500,validation_best,31,500
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,500,patience15,31,46
1,1000,5,0.5,1.0443706512451172,-0.9095834493637085,0.04437065124511719,0.0904165506362915,0.7519502639770508,0.11731244006849025,0.64680415561131,0.8500299045247687,0.9011893558939631,1000,terminal,1000,1000
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,1000,validation_best,31,1000
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,1000,patience15,31,46
1,1000,6,0.5,0.7146881818771362,0.5468896627426147,-0.28531181812286377,1.5468896627426147,0.6031201481819153,0.09346306961175907,0.6289597482036288,0.6067995490955463,0.6631450075086177,10,terminal,10,10
1,1000,6,0.5,0.7090327739715576,0.5562056303024292,-0.2909672260284424,1.5562056303024292,0.6021122932434082,0.10728204063365068,0.6328047105859183,0.6070870948630099,0.6623150313101122,10,validation_best,9,10
1,1000,6,0.5,0.7090327739715576,0.5562056303024292,-0.2909672260284424,1.5562056303024292,0.6021122932434082,0.10728204063365068,0.6328047105859183,0.6070870948630099,0.6623150313101122,10,patience15,9,10
1,1000,6,0.5,0.787308931350708,0.3183004558086395,-0.212691068649292,1.3183004558086395,0.5642539858818054,0.07176889201234775,0.5886268119719237,0.5717540043972946,0.6289399692725037,25,terminal,25,25
1,1000,6,0.5,0.7804853320121765,0.3349204957485199,-0.2195146679878235,1.33492049574852,0.561392605304718,0.08679489287939822,0.5926141975549715,0.568732922923064,0.6301293240453677,25,validation_best,24,25
1,1000,6,0.5,0.7804853320121765,0.3349204957485199,-0.2195146679878235,1.33492049574852,0.561392605304718,0.08679489287939822,0.5926141975549715,0.568732922923064,0.6301293240453677,25,patience15,24,25
1,1000,6,0.5,0.9299996495246887,-0.11978581547737122,-0.07000035047531128,0.8802141845226288,0.5321760177612305,0.05281683017763496,0.5291272158416737,0.541576433675828,0.609207424736002,50,terminal,50,50
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,50,validation_best,48,50
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,50,patience15,48,50
1,1000,6,0.5,1.0348724126815796,-0.5375463962554932,0.03487241268157959,0.46245360374450684,0.5528378486633301,0.02861639346021362,0.44549582927855336,0.5598022472540541,0.6264350825545232,100,terminal,100,100
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,100,validation_best,48,100
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,100,patience15,48,63
1,1000,6,0.5,1.1320284605026245,-0.6804602742195129,0.1320284605026245,0.31953972578048706,0.6114994287490845,0.04343417552809187,0.3951656692722588,0.600619608623524,0.6665023583745423,200,terminal,200,200
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,200,validation_best,48,200
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,200,patience15,48,63
1,1000,6,0.5,1.0608447790145874,-0.8092470169067383,0.0608447790145874,0.19075298309326172,0.728059709072113,0.052323990790935776,0.3962799922264273,0.6864925058440575,0.7314668211638224,500,terminal,500,500
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,500,validation_best,48,500
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,500,patience15,48,63
1,1000,6,0.5,1.151100993156433,-0.8116759657859802,0.1511009931564331,0.18832403421401978,0.8336436152458191,0.08347739472707291,0.49839627172895473,0.8053804599654216,0.8396460064840453,1000,terminal,1000,1000
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,1000,validation_best,48,1000
1,1000,6,0.5,0.9180513620376587,-0.09030485898256302,-0.08194863796234131,0.909695141017437,0.5220958590507507,0.04980750279551936,0.5309884427188518,0.5320428516145539,0.6083479251669823,1000,patience15,48,63
1,1000,7,0.5,0.3544609546661377,0.0973781868815422,-0.6455390453338623,1.0973781868815422,0.5487962365150452,0.040628163440990385,0.5961574611396796,0.5651594071861897,0.6430354701959841,10,terminal,10,10
1,1000,7,0.5,0.3544609546661377,0.0973781868815422,-0.6455390453338623,1.0973781868815422,0.5487962365150452,0.040628163440990385,0.5961574611396796,0.5651594071861897,0.6430354701959841,10,validation_best,10,10
1,1000,7,0.5,0.3544609546661377,0.0973781868815422,-0.6455390453338623,1.0973781868815422,0.5487962365150452,0.040628163440990385,0.5961574611396796,0.5651594071861897,0.6430354701959841,10,patience15,10,10
1,1000,7,0.5,0.5077460408210754,-0.06174461171030998,-0.49225395917892456,0.93825538828969,0.540644645690918,0.0397367961836277,0.5554379301077464,0.5592712568950146,0.6300836892325058,25,terminal,25,25
1,1000,7,0.5,0.4326082170009613,0.02200748771429062,-0.5673917829990387,1.0220074877142906,0.5366225242614746,0.03603658223698666,0.5664933513087153,0.5543672275536694,0.6258165850207568,25,validation_best,18,25
